BucketId,BucketSize
0,6
1,8
2,9
3,10
4,8
5,11
6,5
7,9
8,20
9,21
10,19
11,24
12,19
13,17
14,19
15,22
16,30
17,24
18,20
19,20
20,24
21,25
22,26
23,15
24,21
25,27
26,21
27,19
28,17
29,17
30,15
31,19
32,13
33,14
34,22
35,22
36,24
37,21
38,18
39,26
40,19
41,19
42,9
43,12
44,23
45,10
46,15
47,13
48,16
49,13
50,15
51,18
52,17
53,17
54,13
55,13
56,17
57,17
58,18
59,10
60,17
61,12
62,10
63,11
64,24
65,16
66,30
67,30
68,19
69,16
70,27
71,13
72,22
73,19
74,21
75,19
76,17
77,18
78,18
79,19
80,18
81,16
82,9
83,12
84,14
85,16
86,17
87,11
88,7
89,13
90,8
91,13
92,11
93,13
94,8
95,11
96,2
97,2
98,8
99,2
100,2
101,3
102,2
103,5
104,0
105,5
106,2
107,5
108,4
109,5
110,2
111,5
112,7
113,3
114,4
115,4
116,4
117,5
118,4
119,3
120,3
121,0
122,2
123,7
124,3
125,5
126,1
127,3
128,3
129,2
130,5
131,4
132,4
133,2
134,3
135,3
136,2
137,4
138,2
139,4
140,1
141,4
142,4
143,7
144,3
145,2
146,2
147,6
148,4
149,4
150,4
151,7
152,3
153,3
154,5
155,4
156,8
157,3
158,2
159,4
160,3
161,3
162,2
163,10
164,4
165,5
166,3
167,2
168,3
169,6
170,5
171,2
172,2
173,5
174,4
175,6
176,2
177,5
178,6
179,3
180,4
181,9
182,3
183,9
184,4
185,3
186,3
187,7
188,4
189,7
190,3
191,9
192,4
193,4
194,6
195,7
196,7
197,5
198,6
199,1
200,4
201,5
202,3
203,9
204,1
205,2
206,5
207,5
208,4
209,3
210,7
211,5
212,5
213,4
214,4
215,4
216,6
217,6
218,2
219,3
220,8
221,2
222,6
223,4
224,3
225,4
226,5
227,3
228,2
229,5
230,1
231,2
232,1
233,4
234,2
235,3
236,2
237,1
238,0
239,0
240,2
241,2
242,5
243,1
244,1
245,0
246,0
247,1
248,2
249,3
250,1
251,2
252,2
253,3
254,1
255,2
256,5
257,4
258,3
259,2
260,4
261,4
262,4
263,1
264,0
265,1
266,0
267,1
268,0
269,4
270,1
271,1
272,4
273,1
274,4
275,0
276,1
277,5
278,2
279,2
280,2
281,1
282,2
283,1
284,2
285,2
286,3
287,0
288,3
289,3
290,3
291,2
292,5
293,11
294,12
295,18
296,9
297,8
298,9
299,11
300,11
301,16
302,11
303,15
304,10
305,16
306,14
307,12
308,20
309,13
310,15
311,21
312,13
313,15
314,20
315,16
316,18
317,11
318,12
319,10
320,12
321,34
322,23
323,21
324,23
325,24
326,28
327,24
328,22
329,22
330,31
331,20
332,24
333,18
334,11
335,27
336,28
337,13
338,18
339,13
340,14
341,16
342,18
343,17
344,21
345,15
346,19
347,21
348,20
349,23
350,27
351,29
352,28
353,20
354,17
355,16
356,25
357,27
358,22
359,11
360,13
361,10
362,15
363,13
364,22
365,9
366,12
367,13
368,13
369,13
370,16
371,9
372,10
373,11
374,6
375,13
376,8
377,8
378,7
379,5
380,9
381,2
382,7
383,8
384,6
385,2
386,3
387,7
388,3
389,2
390,2
391,6
392,0
393,3
394,2
395,4
396,3
397,4
398,2
399,4
400,6
401,3
402,3
403,3
404,1
405,0
406,2
407,2
408,5
409,2
410,3
411,1
412,6
413,4
414,2
415,6
416,3
417,3
418,1
419,1
420,2
421,1
422,2
423,0
424,0
425,4
426,2
427,4
428,4
429,1
430,2
431,0
432,2
433,3
434,0
435,6
436,0
437,4
438,3
439,0
440,5
441,3
442,3
443,2
444,2
445,5
446,7
447,5
448,9
449,2
450,2
451,6
452,4
453,0
454,5
455,8
456,4
457,6
458,4
459,2
460,3
461,10
462,3
463,2
464,2
465,3
466,4
467,5
468,3
469,1
470,3
471,1
472,7
473,4
474,6
475,4
476,2
477,8
478,4
479,5
480,1
481,2
482,8
483,5
484,6
485,3
486,2
487,8
488,1
489,9
490,8
491,2
492,4
493,1
494,5
495,7
496,7
497,14
498,5
499,3
500,5
501,4
502,5
503,5
504,8
505,8
506,5
507,9
508,5
509,3
510,4
511,4
512,9
513,3
514,5
515,6
516,2
517,1
518,8
519,2
520,3
521,5
522,2
523,4
524,5
525,3
526,2
527,1
528,6
529,1
530,4
531,4
532,1
533,2
534,4
535,4
536,4
537,2
538,1
539,1
540,3
541,0
542,5
